    0.405991063117980957E+02    0.297449772357940674E+02    0.137978000428378770E-07    0.201191306114196777E+01    0.545432507991790771E+00    0.683010578155517578E+01    0.280785546302795410E+02    0.165657691955566406E+02    0.674425125122070312E+01    0.103635069833478964E-02    0.176899194717407227E+03    0.275693237781524658E+00    0.633800733089447021E+02   -0.114987864979711176E+05   -0.599146350544150419E+01    1
    0.271622321605682373E+02    0.324578623771667480E+02    0.552989074332103202E-06    0.161268115043640137E+01    0.218356966972351074E+00    0.848402881622314453E+02    0.252590984106063843E+02    0.174439783096313477E+02    0.116267251968383789E+02    0.107888865756000803E-02    0.127143595218658447E+03    0.277130663394927979E+00    0.279715991020202637E+02   -0.114987864979711176E+05   -0.599396350544151169E+01    1
    0.244209167957305908E+02    0.318981151580810547E+02    0.342721002569028194E-07    0.674587488174438477E+00    0.365403890609741211E-01    0.717720079421997070E+02    0.274493277072906494E+02    0.180956478118896484E+02    0.139952468872070312E+02    0.505862146714301936E-01    0.888462209701538086E+02    0.455101430416107178E+00    0.256219303607940674E+02   -0.114987864979711176E+05   -0.599646350544151474E+01    1
    0.382769033908843994E+02    0.318258600234985352E+02    0.674315872231783816E-06    0.599198043346405029E+02    0.141555666923522949E-01    0.338663434982299805E+02    0.234166786670684814E+02    0.186373848915100098E+02    0.900753855705261230E+01    0.232439472518115697E+00    0.674279451370239258E+02    0.259108543395996094E-01    0.156364771127700806E+03   -0.114987864979711158E+05   -0.599896350544151957E+01    1
    0.370582900047302246E+02    0.210106532573699951E+02    0.113164441351987392E-06    0.154773592948913574E+01    0.261855423450469971E+00    0.893038809299468994E+02    0.243803384304046631E+02    0.194577300548553467E+02    0.561301112174987793E+01    0.130644105856410120E+00    0.153528034687042236E+03    0.363670587539672852E-01    0.253972256183624268E+02   -0.114987864972952466E+05   -0.600146350544151552E+01    1
    0.243613181114196777E+02    0.204009859561920166E+02    0.554686253777045420E-04    0.760960578918457031E+00    0.187000691890716553E+00    0.741539597511291504E+02    0.247035968303680420E+02    0.196369085311889648E+02    0.989652276039123535E+01    0.695708028726438471E-01    0.397236227989196777E+01    0.887016355991363525E+00    0.115225725173950195E+03   -0.114987861286162115E+05   -0.600396350544151858E+01    1
    0.251293609142303467E+02    0.273950426578521729E+02    0.104418710129883473E-07    0.800533831119537354E+02    0.895253837108612061E+00    0.142063490152359009E+03    0.271044875383377075E+02    0.192904212474822998E+02    0.172009623050689697E+02    0.506779969265504140E-02    0.170407626628875732E+03    0.410321593284606934E+00    0.131525659561157227E+03   -0.114987855388032458E+05   -0.600646350544151630E+01    1
    0.300753746032714844E+02    0.254683272838592529E+02    0.111468776555560005E-07    0.935900688171386719E+02    0.513362228870391846E+00    0.159335317611694336E+03    0.235661706924438477E+02    0.198410019874572754E+02    0.898741483688354492E+01    0.454243072659537214E-01    0.246119606494903564E+02    0.816373169422149658E+00    0.851840078830718994E+02   -0.114987854677389878E+05   -0.600896350544152469E+01    1
    0.233848712444305420E+02    0.278869955539703369E+02    0.127380030040115288E-07    0.900306344032287598E+02    0.922435522079467773E-02    0.492446279525756836E+02    0.236550036668777466E+02    0.165358109474182129E+02    0.126359879970550537E+02    0.605826678719520863E-03    0.820803594589233398E+02    0.483433783054351807E+00    0.140700927972793579E+03   -0.114987853343583447E+05   -0.601146350544151886E+01    1
    0.284678432941436768E+02    0.212890069484710693E+02    0.156753458856074361E-04    0.193786621093750000E+00    0.877262890338897705E+00    0.707672631740570068E+02    0.241772183179855347E+02    0.195964913368225098E+02    0.166639816761016846E+02    0.970569083123711041E+00    0.165159058570861816E+02    0.731714069843292236E+00    0.710000681877136230E+02   -0.114987852887804638E+05   -0.601396350544150859E+01    1
